type_of_reference,authors,primary_title,title,publication_year,year,abstract
JOUR,"Andersen, Michael Riis, Kabel, Kristine, Bremholm, Jesper, Bundsgaard, Jeppe, Hansen, Lars Kai",Automatic proficiency scoring for early-stage writing,,,2023,"In this work, we study the feasibility of using machine learning and natural language processing methods for assessing writing proficiency in Danish with respect to text construction, sentence construction, and use of modifiers. Our work is based on the analytical framework for scoring early writing proposed by Kabel et al. (2022), where each text is first annotated by a human expert according to a predefined coding scheme and subsequently scored using statistical Rasch modeling (Rasch, 1960). We investigate two different strategies for estimating these scores automatically: 1) we propose a system for identifying the central linguistic features automatically mimicking the role of the human experts and 2) we train state-of-the-art discriminative machine learning models to predict the proficiency scores directly from the texts. We conduct a number of experiments to evaluate and compare the two approaches. Our results show strong and statistically significant correlations between the scores generated using the automatic system and scores based on human experts. We also estimate and report the reliability of the individual linguistic features in the automatic annotation system. Finally, we also propose and evaluate an extension of the statistical model, which allows the model to compensate for potential systematic errors in the automatic annotations. The article thereby contributes to the area of automated essay scoring (AES) and shows that it is possible to provide teachers with automated valid and reliable knowledge about the development of their students' writing competences, which they can use in their feedback to students."
CONF,"P. Pathak, S. Raghav, S. Jain, S. Jalal",,Essay Rating System Using Machine Learning,22-23 Oct. 2021,2021,"Essay Rating is the process of assigning grades to the essays written for professional purposes. Automating this process implies the use of specified machine learning algorithms over the standard manual methods to evaluate the essays through Natural Language Processing. Essays can be termed as a large set of textual entities. Grading these essays involves distributing them into a fewer number of distinct categories based on certain constraints and standards. These categories are then used to assign the possible grades. Because of numerous factors like cost, time, biasness, and delay in results, there is a need to switch from manually checking the essays to automated grading. It is a very tedious task to evaluate a bulk of essays while probing every kind of error. Henceforth, this model of Automated Essay Grading System models seems quite assuring. It takes text input from the user and generates grades conforming to the pre-defined standards. After evaluating its useful attributes, an output is obtained in the form of a grade for the given essay. This project comprises of grammar-based Checking (Checking Unique Word count, Sentence Count, Grammatical Mistakes, Spelling Errors) and Context Based Checking (Application of NLP to categorize the essays)."
CONF,"A. M. Bojamma, M. Bhattacharya, T. C. F. Liu",,A Lexical Model for Automated Essay Evaluation System Using Ensemble Learning Techniques,3-5 Oct. 2024,2024,"Automated Essay Scoring (AES) systems have become an attractive alternative to manual scoring due to their cost-saving benefits. This paper assesses the feasibility of such systems by conducting a study using a custom-built machine learning model, which employs the Random Forest Classifier to predict essay grades. Among the features used to train the model, individual and unique word counts emerged as the most effective in influencing the ratings. However, excessive reliance on these features has often been criticized and labeled as reductive. Regarding practical applications, the AES system developed in this study may be better suited for making estimations rather than serving as a substitute for human reviewers. In the future, improvements could focus on enabling the model to analyze higher-level features, such as flow and style."
CONF,"R. Bhatt, M. Patel, G. Srivastava, V. Mago",,A Graph Based Approach to Automate Essay Evaluation,11-14 Oct. 2020,2020,"Despite studies of over six decades, research on automated essay scoring continues to grab ample attention in the Natural Language Processing (NLP) community in part because of its commercial and educational value. However, evaluating such writing compositions or essays in terms of reliability and time is a very challenging process. The need for reliable and rapid scores has elevated the need for a computer system that can answer essay questions that fit precise prompts automatically. NLP and machine learning strategies use Automated Essay Scoring (AES) systems to solve the difficulty of scoring writing tasks. In this paper, we suggest an AES approach that involves not only rule-based grammar and consistency tests, but also the semantic similarity of sentences, thus giving priority to question prompts. Similarity vectors are used obtained after applying semantic algorithms and calculated statistical features. Our system uses 22 features with high predicting power, which is less than current systems, while considering every aspect a human grader may focus on.Predicting scores is achieved using the data provided by Kaggle's ASAP competition using Random Forest. The resulting agreement between the score of the human grader and the prediction of the system is compared with promising results through experimental evaluation."
CONF,"B. S. J. Kapoor, S. M. Nagpure, S. S. Kolhatkar, P. G. Chanore, M. M. Vishwakarma, R. B. Kokate",,An Analysis of Automated Answer Evaluation Systems based on Machine Learning,26-28 Feb. 2020,2020,"Evaluation of the answers remain as one of the most important factors in the learning and teaching process. Automatic evaluation of the answers is very necessary thus, many system has been developed in this digital era. Usually, the subjective answers are in either short form or long answers. The existing system available for evaluation has shown mediocre result in evaluating and scoring the answers. In such frameworks, the data recovery technique to gauge likeness between understudies answer and references answer is utilized, yet such scoring framework doesn't give the best outcome yet. There are very few keywords available in short answers. The answers with such limited number of keywords needs special care, especially while calculating the weighting score of the answers. In the presented study, we try to summarize the existing mechanism and analyses the performance of the system used for automatic grading of the long and descriptive answers."
CONF,"N. G. Pasaribu, G. Budiman, I. D. Irawati",,NasNet Model for Image-Based Essay Scoring Deep Learning,20-21 Aug. 2024,2024,"Automated essay grading systems have increasingly become a focal point in the educational landscape, primarily due to their potential to enhance the efficiency and objectivity of essay evaluation processes. Recognizing this potential, the paper presents an innovative strategy for automated essay grading that leverages the NasNetMobile architecture as its foundational model. The methodology outlined involves a meticulous data division according to specific question numbers, followed by a manual aggregation of scores assigned to each question to derive a final grade for every essay. Through rigorous exper-imentation, the paper identifies an optimal data partitioning strategy, revealing that a 60% split for testing coupled with a 40% allocation for training purposes culminates in a remarkable accuracy rate of 84%. The technical implementation of this system is executed using the Python programming language, TensorFlow Keras for machine learning model development, and Google Colab for project collaboration and resource sharing. The choice of the Adam optimizer, characterized by a learning rate of 0.002 and a batch size of 32, significantly contributed to the system's adeptness in precisely classifying students' essay scores. Demonstrated through these findings, our proposed automated essay grading system showcases its substantial capability to serve as an effective and reliable tool in assessing student essays, thereby holding considerable promise for future adoption and further development within educational settings."
CONF,"H. C. R. Jeewantha, A. N. Gajasinghe, N. I. Naidabadu, T. N. Rajapaksha, D. Kasthurirathna, A. Karunasena",,"English Language Trainer for Non-Native Speakers using Audio Signal Processing, Reinforcement Learning, and Deep Learning",2-3 Dec. 2021,2021,"Lack of basic proficiency and confidence in writing and speaking in English is one of the major social problems faced by most non-native English speakers. Although the general adult literacy rate in Sri Lanka is above average by world standards, the English literacy rate is just 22% among the Sri Lankan adult population. Many individuals face setbacks in achieving their career and academic goals due to these language barriers. In a world where English has become a compulsory requirement to pursue higher education, career development, and performing day-to-day activities, ""English Buddy"" is a software solution developed to enhance the English learning experience of individuals in a more personalized and innovative way. The system provides an all-in-one solution while filling major research and market gaps in existing solutions in the e-learning domain. The system consists of a personalized learning environment, automated pronunciation error detection system, automated essay evaluation process, automated descriptive answer evaluation component based on semantic similarity, and real-time course content rating system. English Buddy is implemented using state-of-the-art technologies such as Audio Signal Processing, Reinforcement Learning, Deep Learning, and NLP. The LSTM, Sentiment Analysis, and Siamese network models have gained accuracy scores of 0.93, 0.92, and 0.81 respectively. Further, the UAT results proved that the personalized recommendations and pronunciation error detection processes are accurate and reliable. This research has been able to overcome the limitations of most existing solutions that follow traditional approaches and provide better results compared to the recent studies in the e-learning research domain."
JOUR,"Abo-Elghit, Amira Hamed, Hamza, Taher, Al-Zoghby, Aya",Embedding Extraction for Arabic Text Using the AraBERT Model,,,2022,"Nowadays, we can use the multi-task learning approach to train a machine-learning algorithm to learn multiple related tasks instead of training it to solve a single task. In this work, we propose an algorithm for estimating textual similarity scores and then use these scores in multiple tasks such as text ranking, essay grading, and question answering systems. We used several vectorization schemes to represent the Arabic texts in the SemEval2017-task3-subtask-D dataset. The used schemes include lexical-based similarity features, frequency-based features, and pre-trained model-based features. Also, we used contextual-based embedding models such as Arabic Bidirectional Encoder Representations from Transformers (AraBERT). We used the AraBERT model in two different variants. First, as a feature extractor in addition to the text vectorization schemes’ features. We fed those features to various regression models to make a prediction value that represents the relevancy score between Arabic text units. Second, AraBERT is adopted as a pre-trained model, and its parameters are fine-tuned to estimate the relevancy scores between Arabic textual sentences. To evaluate the research results, we conducted several experiments to compare the use of the AraBERT model in its two variants. In terms of Mean Absolute Percentage Error (MAPE), the results show minor variance between AraBERT v0.2 as a feature extractor (21.7723) and the fine-tuned AraBERT v2 (21.8211). On the other hand, AraBERT v0.2-Large as a feature extractor outperforms the fine-tuned AraBERT v2 model on the used data set in terms of the coefficient of determination (R2) values (0.014050,−0.032861), respectively."
JOUR,"LEE, Alwyn Vwen Yen",Supporting students’ generation of feedback in large-scale online course with artificial intelligence-enabled evaluation,,,2023,"Educators in large-scale online courses tend to lack the necessary resources to generate and provide adequate feedback for all students, especially when students’ learning outcomes are evaluated through student writing. As a result, students welcome peer feedback and sometimes generate self-feedback to widen their perspectives and obtain feedback, but often lack the support to do so. This study, as part of a larger project, sought to address this prevalent problem in large-scale courses by allowing students to write essays as an expression of their opinions and response to others, conduct peer and self-evaluation, using provided rubric and Artificial Intelligence (AI)-enabled evaluation to aid the giving and receiving of feedback. A total of 605 undergraduate students were part of a large-scale online course and contributed over 2500 short essays during a semester. The research design uses a mixed-methods approach, consisting qualitative measures used during essay coding, and quantitative methods from the application of machine learning algorithms. With limited instructors and resources, students first use instructor-developed rubric to conduct peer and self-assessment, while instructors qualitatively code a subset of essays that are used as inputs for training a machine learning model, which is subsequently used to provide automated scores and an accuracy rate for the remaining essays. With AI-enabled evaluation, the provision of feedback can become a sustainable process with students receiving and using meaningful feedback for their work, entailing shared responsibility from teachers and students, and becoming more effective."
JOUR,"Wilson, Joshua, Huang, Yue",Validity of automated essay scores for elementary-age English language learners: Evidence of bias?,,,2024,"Given increased prevalence of automated writing evaluation (AWE) systems in classroom settings, more research is needed to explore the potential for bias in automated scores with respect to English language learners (ELLs). Thus, this research study investigated and compared the predictive validity of automated and human scoring methods for elementary-age English ELLs on a writing test designed for ELLs and a state writing test designed for the general population. This study focused on the MI Write AWE system and sampled 2829 students comprising ELLs and non-ELLs in Grades 3–5. Results of multilevel regression analyses and simple slopes estimation indicated that, for ELLs, the automated MI Write score had similar predictive validity to the human score for both writing tests. However, automated and human scores for ELLs were less closely related to the state writing test score than scores for non-ELL students. Findings suggest that MI Write’s automated scoring was not uniquely biased relative to human scoring but does reproduce the same biases evident with human scoring. Implications and directions for future research are discussed."
JOUR,"Canz, Thomas, Hoffmann, Lars, Kania, Renate",Presentation-mode effects in large-scale writing assessments,,,2020,"To ensure valid measurement in large-scale assessments, avoiding incorporating construct-irrelevant aspects is crucial. We investigated a potential source of construct-irrelevant variance, i.e. the presentation mode of essays (handwritten vs. computer-typed) and its influence on scoring. Further, we investigated whether the presentation-mode effect is moderated by text quality and legibility, as well as by orthographic, grammatical, and punctuation erroneousness, and whether the presentation mode differs over text genres. Rater-teams scored two versions (originally handwritten vs. computer-typed transcripts) of 430 essays written by students at the end of lower secondary education in Germany on content quality and style quality, as well as the considered moderators. Statistical analyses showed a main effect for presentation mode: Computer-typed transcripts were scored higher than handwritten essays. This effect was moderated by text quality and grammatical erroneousness. Furthermore, the strength of the presentation-mode effect differed by text genre. We argued that the strength as well as the direction of the presentation mode are guided by these and further factors."
JOUR,"Wilson, Joshua, Rodrigues, Jessica",Classification accuracy and efficiency of writing screening using automated essay scoring,,,2020,"The present study leveraged advances in automated essay scoring (AES) technology to explore a proof of concept for a writing screener using the Project Essay Grade (PEG) program. First, the study investigated the extent to which an AES-scored multi-prompt writing screener accurately classified students as at risk of failing a Common Core-aligned English language arts state test. Second, the study explored whether a similar level of classification accuracy could be achieved with a more efficient form of the AES-screener with fewer writing prompts. Third, the classification accuracy of the AES-scored screeners was compared to that of screeners scored for word count. Students in Grades 3–5 (n = 185, 167, and 187, respectively) composed six essays in response to multiple writing-prompt screeners on six different randomly assigned topics, consisting of two essays in each of three different genres (narrative, informative, and persuasive). Receiver operating characteristic (ROC) curve analysis was used to assess classification accuracy and to identify multiple cut scores with associated sensitivity and specificity values, and positive and negative posttest probabilities. Results indicated that the AES-scored multi-prompt screener and screeners with fewer prompts yield acceptable classification accuracy, are efficient, and are more accurate than screeners scored for word count. Overall, results illustrate the viability of writing screening using AES."
JOUR,"Liu, Yuanchao, Han, Jiawei, Sboev, Alexander, Makarov, Ilya",GEEF: A neural network model for automatic essay feedback generation by integrating writing skills assessment,,,2024,"Assessing students' writing ability has always been an important component of research on automatic essay evaluation. The existing methods usually focus on outputting numerical scores, and there is little research on providing feedback on writing quality based on text generation techniques. We believe that the generation of quality feedback in essay writing is more valuable as a reference. In this study, we address the problem of essay feedback generation by proposing an encoder-decoder neural network model called GEEF (Generate Essay Feedback) and suppose that feedbacks are written based on the source essay text and the grading of important writing skills. Besides from the text of input essay, our model also takes in additional features including fluency, coherence, richness, and literary talent. We construct an essay feedback corpus along with human-tagged resources to facilitate the study. Experimental results demonstrate that the proposed approach achieves promising performance compared with other baseline methods on automatic and human evaluation metrics. The generated feedback sentences on different aspects of essay writing can help students understand their strengths and weaknesses in writing skills. In addition, the potential application of this study is that it can assist raters in writing more complex feedback on this basis, as it is often difficult to remember many commonly used feedback patterns when writing comments."
JOUR,"Meyer, Jennifer, Jansen, Thorben, Schiller, Ronja, Liebenow, Lucas W., Steinbach, Marlene, Horbach, Andrea, Fleckenstein, Johanna","Using LLMs to bring evidence-based feedback into the classroom: AI-generated feedback increases secondary students’ text revision, motivation, and positive emotions",,,2024,"Writing proficiency is an essential skill for upper secondary students that can be enhanced through effective feedback. Creating feedback on writing tasks, however, is time-intensive and presents a challenge for educators, often resulting in students receiving insufficient or no feedback. The advent of text-generating large language models (LLMs) offers a promising solution, namely, automated evidence-based feedback generation. Yet, empirical evidence from randomized controlled studies about the effectiveness of LLM-generated feedback is missing. To address this issue, the current study compared the effectiveness of LLM-generated feedback to no feedback. A sample of N = 459 upper secondary students of English as a foreign language wrote an argumentative essay. Students in the experimental group were asked to revise their text according to feedback that was generated using the LLM GPT-3.5-turbo. The control group revised their essays without receiving feedback. We assessed improvement in the revision using automated essay scoring. The results showed that LLM-generated feedback increased revision performance (d = .19) and task motivation (d = 0.36). Moreover, it increased positive emotions (d = 0.34) compared to revising without feedback. The findings highlight that using LLMs allows to create timely feedback that can positively relate to students’ cognitive and affective-motivational outcomes. Future perspectives and the implications for research and practice of using LLM-generated feedback in intelligent tutoring systems are discussed."
JOUR,"McCarthy, Kathryn S., Yan, Eleanor F., Allen, Laura K., Sonia, Allison N., Magliano, Joseph P., McNamara, Danielle S.",On the basis of source: Impacts of individual differences on multiple-document integrated reading and writing tasks,,,2022,"Few studies have explored how general skills in both reading and writing influence performance on integrated, source-based writing. The goal of the present study was to consider the relative contributions of reading and writing ability on multiple-document integrative reading and writing tasks. Students in the U.S. (n = 94) completed two tasks in which they read text sets about a socioscientific issue, generated constructed responses while reading, and then composed integrated essays. They also completed individual difference measures (general knowledge, reading skill, reading strategy use) and wrote independent essays to assess their writing ability. Mixed effect models revealed that general knowledge and reading skills contributed to integrated essay performance, but that once general writing ability was entered into the model, it became the strongest predictor of integrated writing scores. These results suggest the need for deeper consideration of the role of writing skills in integrated reading and writing tasks."
JOUR,"Li, Zhi","Teachers in automated writing evaluation (AWE) system-supported ESL writing classes: Perception, implementation, and influence",,,2021,"Automated writing evaluation (AWE) systems have attracted much attention for their efficiency in feedback provision and automated essay scoring in language classrooms. However, teachers’ roles in this technology-enhanced environment and their potential impact on students’ writing development are still under-investigated. To fill this gap, this classroom-based study examined three English as a second language (ESL) teacher’s perceptions and uses of Criterion®, an AWE system developed by Educational Testing Service (ETS), in four ESL writing classes at a large Midwestern U.S. university. Student’s writing performance data, including submission behaviors, revision types, and progress in grammatical accuracy, were then analyzed in light of teachers’ perceptions and reported uses of Criterion. The results indicate that the teachers took different approaches to integrating Criterion in their classes, which, in turn, was reflected in observable differences in students’ essay submission frequencies on Criterion, revision types, and changes in error rates. The findings shed light on the importance of teacher agency and cognition in technology-supported ESL classrooms. Implications for teaching English writing with AWE systems are discussed."
JOUR,"Lotfy, Nourmeen, Shehab, Abdulaziz, Elhoseny, Mohammed, Abu-Elfetouh, Ahmed",An Enhanced Automatic Arabic Essay Scoring System Based on Machine Learning Algorithms,,,2023,"Despite the extensive effort to improve intelligent educational tools for smart learning environments, automatic Arabic essay scoring remains a big research challenge. The nature of the writing style of the Arabic language makes the problem even more complicated. This study designs, implements, and evaluates an automatic Arabic essay scoring system. The proposed system starts with pre-processing the student answer and model answer dataset using data cleaning and natural language processing tasks. Then, it comprises two main components: the grading engine and the adaptive fusion engine. The grading engine employs string-based and corpus-based similarity algorithms separately. After that, the adaptive fusion engine aims to prepare students’ scores to be delivered to different feature selection algorithms, such as Recursive Feature Elimination and Boruta. Then, some machine learning algorithms such as Decision Tree, Random Forest, Adaboost, Lasso, Bagging, and K-Nearest Neighbor are employed to improve the suggested system’s efficiency. The experimental results in the grading engine showed that Extracting DIStributionally similar words using the CO-occurrences similarity measure achieved the best correlation values. Furthermore, in the adaptive fusion engine, the Random Forest algorithm outperforms all other machine learning algorithms using the (80%–20%) splitting method on the original dataset. It achieves 91.30%, 94.20%, 0.023, 0.106, and 0.153 in terms of Pearson’s Correlation Coefficient, Willmot’s Index of Agreement, Mean Square Error, Mean Absolute Error, and Root Mean Square Error metrics, respectively."
JOUR,"Stephen, Tracey C., Gierl, Mark C., King, Sharla",Automated essay scoring (AES) of constructed responses in nursing examinations: An evaluation,,,2021,"Nursing students’ higher-level thinking skills are ideally assessed through constructed-response items. At the baccalaureate level in North America, however, this exam format has largely fallen into disuse owing to the labor-intensive process of scoring written exam papers. The authors sought to determine if automated essay scoring (AES) would be an efficient and reliable alternative to human scoring. Four constructed-response exam items were administered to an initial cohort of 359 undergraduate nursing students in 2016 and to a second cohort of 40 students in 2018. The items were graded by two human raters (HR1 & HR2) and an AES software platform. AES approximated or surpassed agreement and reliability measures achieved by the HR1 and HR2 with each other, and AES surpassed both human raters in efficiency. A list of answer keywords was created to increase the efficiency and reliability of AES. Low agreement between human raters may be explained by rater drift and fatigue, and shortcomings in the development of Item 1 may have reduced its overall agreement and reliability measures. It can be concluded that AES is a reliable and cost-effective means of scoring constructed-response nursing examinations, but further studies employing greater sample sizes are needed to establish this definitively."
JOUR,"Wang, Elaine Lin, Matsumura, Lindsay Clare, Correnti, Richard, Litman, Diane, Zhang, Haoran, Howe, Emily, Magooda, Ahmed, Quintana, Rafael",eRevis(ing): Students’ revision of text evidence use in an automated writing evaluation system,,,2020,"We investigate students’ implementation of the feedback messages they received in an automated writing evaluation system (eRevise) that aims to improve students’ use of text evidence in their writing. Seven 5th and 6th-grade teachers implemented eRevise (n = 143 students). Qualitative analysis of students’ essays across first and second drafts suggests that the majority of students made changes to their essays that were in line with the feedback they received, though few of these changes resulted in substantive improvement in essay quality. Twenty percent of students did not attempt to implement the feedback; these students generally made small changes to wording or mechanics. In response to the feedback to add more evidence, students whose essays did not improve or showed only slight improvement frequently added in evidence that was not text based or repeated evidence already present in the first draft. When prompted to explain how the evidence they included connected to their claim, many students paraphrased the evidence, added a short conclusion, or explained generally how the evidence supports claims (not how this was instantiated in their writing). Implications for teaching argument writing and for designing AWE systems that support students to successfully revise their essays are discussed."
JOUR,"Al-Adeimi, Shireen, O'Connor, Catherine",Exploring the relationship between dialogic teacher talk and students’ persuasive writing,,,2021,"Studies have documented the importance of dialogic classroom discourse for supporting academic outcomes such as reading comprehension and vocabulary development. This study examines the relationship between teacher talk during whole-classroom discussions in 42 classrooms and post-discussion persuasive essays from students in grades four through seven (n = 471). Teacher talk was coded by type of question (contestable, semi-open, or quiz-like) and teachers' follow-ups (prompting, pressing for reasoning, active listening), and further categorized as indicating either high or low levels of dialogic talk. Multilevel modeling that accounts for student participation rate, discussion topic, and students' demographic information shows that high dialogic teacher talk positively predicts students’ persuasive essay scores, while low dialogic teacher talk negatively predicts their scores. The study supports existing hypotheses about the role of teacher dialogic talk in whole-class settings."
JOUR,"Kormos, Judit, Suzuki, Shungo, Rossi, Olena",The role of creativity in second language writing performance,,,2024,"Our study seeks to answer the question of what the impact of creativity is on teenage Hungarian L2 learners' performance in a written argumentative and narrative task. Ninety-five participants at an intermediate level of language proficiency wrote a story based on six unrelated pictures and an argumentative essay in English. Participants also completed the Megújított Barkóczy-Klein Kreatív Potenciálteszt (MKB, Revised Barkóczy-Klein Creative Potential test). A latent variable analysis using structural equation modelling was used to examine the relationship between two latent components of creativity: adaptivity (estimated by scores of elaboration, resistance to early closure and abstractness of title) and innovation (estimated by creative fluency and originality scores) and the latent variable of L2 writing which was estimated by rating scores of five assessment criteria. The results show that the argumentative essays of L2 learners characterized by high levels of creative fluency and originality demonstrated lower levels of writing quality. On the other hand, the argumentative essays of participants who scored higher on the adaptation aspects of creativity were more highly rated."
JOUR,"Smerdon, David","AI in essay-based assessment: Student adoption, usage, and performance",,,2024,"The rise of generative artificial intelligence (AI) has sparked debate in education about whether to ban AI tools for assessments. This study explores the adoption and impact of AI tools on an undergraduate research proposal assignment using a mixed-methods approach. From a sample of 187 students, 69 completed a survey, with 46 (67%) reporting the use of AI tools. AI-using students were significantly more likely to be higher-performing, with a pre-semester average GPA of 5.46 compared to 4.92 for non-users (7-point scale, p = .025). Most students used AI assistance for the highest-weighted components of the task, such as the research topic and methods section, using AI primarily for generating research ideas and gathering feedback. Regression analysis suggests that there was no statistically significant effect of AI use on student performance in the task, with the preferred regression specification estimating an effect size of less than 1 mark out of 100. The qualitative analysis identified six main themes of AI usage: idea generation, writing assistance, literature search, grammar checking, statistical analysis, and overall learning impact. These findings indicate that while AI tools are widely adopted, their impact on academic performance is neutral, suggesting a potential for integration into educational practices without compromising academic integrity."
JOUR,"Tate, Tamara P., Steiss, Jacob, Bailey, Drew, Graham, Steve, Moon, Youngsun, Ritchie, Daniel, Tseng, Waverly, Warschauer, Mark",Can AI provide useful holistic essay scoring?,,,2024,"Researchers have sought for decades to automate holistic essay scoring. Over the years, these programs have improved significantly. However, accuracy requires significant amounts of training on human-scored texts—reducing the expediency and usefulness of such programs for routine uses by teachers across the nation on non-standardized prompts. This study analyzes the output of multiple versions of ChatGPT scoring of secondary student essays from three extant corpora and compares it to quality human ratings. We find that the current iteration of ChatGPT scoring is not statistically significantly different from human scoring; substantial agreement with humans is achievable and may be sufficient for low-stakes, formative assessment purposes. However, as large language models evolve additional research will be needed to continue to assess their aptitude for this task as well as determine whether their proximity to human scoring can be improved through prompting or training."
JOUR,"McNamara, Danielle S., Watanabe, Micah, Huynh, Linh, McCarthy, Kathryn S., Allen, Laura K., Magliano, Joseph P.",Summarizing versus rereading multiple documents,,,2024,"Writing an integrated essay based on multiple-documents requires students to both comprehend the documents and integrate the documents into a coherent essay. In the current study, we examined the effects of summarization as a potential reading strategy to enhance participants’ multiple-document comprehension and integrated essay writing. Participants (n = 295) were randomly assigned to either summarize or reread five texts on sun exposure and radiation. They produced an integrated essay based on the texts that they read, which were scored by expert raters. Finally, the participants completed three knowledge assessments (topic, domain, general). Readers who summarized texts had lower essay scores than readers who reread the texts. However, within the summary group, summary quality was positively correlated with essay score. These findings are discussed within the context of multiple-document comprehension and writing skill."
JOUR,"Jansen, Thorben, Vögelin, Cristina, Machts, Nils, Keller, Stefan, Köller, Olaf, Möller, Jens",Judgment accuracy in experienced versus student teachers: Assessing essays in English as a foreign language,,,2021,"Teacher judgment accuracy (TJA) is a central part of diagnostic competence. Research has revealed heterogeneous results regarding teacher characteristics as determinants of TJA. In the present experimental study N = 36 experienced and N = 47 student teachers holistically and analytically assessed four student essays. We compared the judgments of teachers and student teachers to machine scores and expert ratings. Experienced teachers’ judgments were more negative than student teachers’, and both judgments were more negative than those made by experts, and the machine. The results remained stable, even after controlling for content knowledge. They are discussed in relation to the assumption of an expert-blind-spot."
JOUR,"Eurboonyanun, Chalerm, Wittayapairoch, Jakrapan, Aphinives, Potchavit, Petrusa, Emil, Gee, Denise W., Phitayakorn, Roy",Adaptation to Open-Book Online Examination During the COVID-19 Pandemic,,,2021,"INTRODUCTION COVID-19 altered medical education systems worldwide as many medical schools quickly changed to online assessment systems. However, the feasibility of online assessment and how it compares to traditional examinations is unclear. METHODS We compared 4th year medical students' online surgery clerkship assessment scores to the traditional written examinations. The percent of correct scores using online open-book examination was compared to the results of the traditional closed-book examination in the previous three rotations. Additional correlation between grade point average(GPA) and examination performance were reviewed. RESULTS Compared with the traditional groups, medical students who took the online, open-book examination had a significantly higher mean score in both MCQ(85.21 vs. 77.36, 72.43, 83.00, p<0.001) and essay examinations (187.36 vs. 158.77, 152.17, 152.29, p<0.001), but a significantly lower mean score in short answer examination (60.09 vs. 66.79, 67.73, 64.82, p<0.001). The online open-book examination group had a significantly lower correlation between the essay score and their GPA than the previous traditional groups (z=2.81 p=0.005, z=2.23 p=0.026, z=2.19 p=0.029). CONCLUSION Although an online, open-book examination was feasible during the COVID-19 pandemic, this study indicates that mean scores are significantly different which has important implications regarding grading and standard setting. More research is required to assess other effects of this new assessment on long-term knowledge retention and application."
JOUR,"Yasuda, Sachiko",Does “more complexity” equal “better writing”? Investigating the relationship between form-based complexity and meaning-based complexity in high school EFL learners’ argumentative writing,,,2024,"The study examines the relationship between form-based complexity and meaning-based complexity in argumentative essays written by high school students learning English as a foreign language (EFL) in relation to writing quality. The data comprise argumentative essays written by 102 Japanese high school learners at different proficiency levels. The students’ proficiency levels were determined based on the evaluation of their argumentative essays by human raters using the GTEC rubric. The students’ essays were analyzed from multiple dimensions, focusing on both form-based complexity (lexical complexity, large-grained syntactic complexity, and fine-grained syntactic complexity features) and meaning-based complexity (argument quality). The results of the multidimensional analysis revealed that the most influential factor in determining overall essay scores was not form-based complexity but meaning-based complexity achieved through argument quality. Moreover, the results indicated that meaning-based complexity was strongly correlated with the use of complex nominals rather than clausal complexity. These insights have significant implications for both the teaching and assessment of argumentative essays among high school EFL learners, underscoring the importance of understanding what aspects of writing to prioritize and how best to assess student writing."
JOUR,"Azmi, Aqil M., Al-Jouie, Maram F., Hussain, Muhammad",AAEE – Automated evaluation of students’ essays in Arabic language,,,2019,"Assessing student’s essay writing and providing thoughtful feedback is a truly labor-intensive and time-consuming task. With human instructors already overwhelmed, the alternate is to consider a computer-based grading. Recent advances have generated renewed interest in automatic evaluation of essays (AEE). The AEEs instantaneous feedback and more consistent grading helps students draft better essays. This work presents a system to automatically grade the school children essays in Arabic, calling it AAEE for “automatic Arabic essays evaluator”. The system is modeled upon the scoring scheme followed by the school instructors in Saudi Arabia. The instructors had specific criteria upon which an essay is assessed. Putting these criteria together we developed a system that relies on Latent Semantic Analysis, and Rhetorical Structure Theory. With this design we are able to assess individual components of the essay such as language proficiency, structure of the essay etc. To test the system, we collected essays by local school children covering grades 7–12. A total of 350 different handwritten essays—spanning eight different topics—each transcribed into computer readable format. The AAEE shows that 90% of the test essays were correctly scored, and a correlation of 0.756 between automatic and teachers’ scoring. This exceeds the human-human correlation of 0.709 for the Arabic essays."
JOUR,"Lyashevskaya, Olga, Panteleeva, Irina, Vinogradova, Olga",Automated assessment of learner text complexity,,,2021,"EFL methodology has always recognized the importance of giving student learners of foreign languages regular and quick feedback on student production, both written and oral. The presented paper describes the decisions taken during the development of an application to measure text complexity, and shows how the results achieved with this application were translated into feedback related to the author’s language proficiency. Along with some standard text complexity features, this tool takes into account those that are significant for Russian learners of English. The application provides students with the statistics of the relevant linguistic features of the text in comparison with texts of the learner essays that were considered the top and the bottom levels in the learner corpus. The paper also points out what text features are especially relevant for the assessment of the essays written in English by Russian students. The choice was made possible after the analysis of 3440 texts from Russian Error-Annotated English Learner Corpus, and after applying methods of machine learning and statistical analysis to predict the grade that could be received for the essay."
